Recipe Name,Food Type,Ingredients,Calories,Protein (g),Carbohydrates (g),Fats (g),Instructions,Diet Type,Cholesterol (mg),Sugar (g)
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,52,4
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,87,3
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,96,2
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,33,4
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,36,4
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,43,2
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,52,3
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,93,3
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,35,3
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,53,7
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,72,3
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,35,2
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,62,3
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,62,7
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,69,4
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,41,4
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,30,3
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,56,8
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,58,3
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,50,2
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,53,5
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,39,3
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,44,2
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,57,7
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,39,4
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,88,6
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,54,2
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,57,7
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,68,7
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,56,6
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,89,5
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,58,6
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,44,8
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,51,4
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,59,2
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,71,6
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,69,3
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,43,4
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,36,9
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,41,4
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,48,4
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,51,4
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,63,4
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,93,3
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,68,6
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,80,5
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,59,3
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,50,3
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,32,2
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,91,6
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,36,4
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,44,3
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,67,2
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,49,4
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,81,5
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,55,4
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,67,8
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,65,8
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,66,6
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,95,4
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,42,3
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,41,4
